,airport,country,county,distance(km),lat,long,state/province
0,Hartsfield-Jackson Atlanta International ,US,Appling,290.4084235344704,31.74847232,-82.28909114,Georgia
1,Hartsfield-Jackson Atlanta International ,US,Bacon,296.35564521108313,31.55456473,-82.45936528,Georgia
2,Hartsfield-Jackson Atlanta International ,US,Baldwin,126.80108258551988,33.06882326,-83.24701748,Georgia
3,Hartsfield-Jackson Atlanta International ,US,Barrow,76.57484834181415,33.99148694,-83.71436292,Georgia
4,Hartsfield-Jackson Atlanta International ,US,Ben Hill,237.58633933280092,31.76095874,-83.22145359,Georgia
5,Hartsfield-Jackson Atlanta International ,US,Bibb,114.37862821537526,32.80904227,-83.70489165,Georgia
6,Hartsfield-Jackson Atlanta International ,US,Brantley,356.118399936848,31.19576557,-81.97743999,Georgia
7,Hartsfield-Jackson Atlanta International ,US,Bryan,332.9137659874081,32.00979311,-81.44002948,Georgia
8,Hartsfield-Jackson Atlanta International ,US,Burke,234.67036783176152,33.05917989,-81.99928721,Georgia
9,Hartsfield-Jackson Atlanta International ,US,Calhoun,235.29426432347626,31.53169785,-84.62725131,Georgia
10,Hartsfield-Jackson Atlanta International ,US,Candler,258.8711204363043,32.40209349,-82.07702563,Georgia
11,Hartsfield-Jackson Atlanta International ,US,Catoosa,154.2994405320501,34.89872298,-85.13757014,Georgia
12,Hartsfield-Jackson Atlanta International ,US,Chatham,358.5026510419541,32.00043026,-81.12489526,Georgia
13,Hartsfield-Jackson Atlanta International ,US,Chattooga,125.21636551015033,34.47197698,-85.34535662,Georgia
14,Hartsfield-Jackson Atlanta International ,US,Clarke,103.66866072387884,33.95436462,-83.37124007,Georgia
15,Hartsfield-Jackson Atlanta International ,US,Clayton,12.889099026228802,33.54187245,-84.35594188,Georgia
16,Hartsfield-Jackson Atlanta International ,US,Cobb,36.2000807246457,33.94243204,-84.5761255,Georgia
17,Hartsfield-Jackson Atlanta International ,US,Colquitt,279.70568240809223,31.18810588,-83.7677946,Georgia
18,Hartsfield-Jackson Atlanta International ,US,Cook,291.2957232332113,31.16068491,-83.42947229,Georgia
19,Hartsfield-Jackson Atlanta International ,US,Crawford,111.18265440669589,32.71391813,-83.98061238,Georgia
20,Hartsfield-Jackson Atlanta International ,US,Dade,167.37957084758483,34.854916700000004,-85.50490424,Georgia
21,Hartsfield-Jackson Atlanta International ,US,DeKalb,23.657797991460377,33.76944049,-84.22396017,Georgia
22,Hartsfield-Jackson Atlanta International ,US,Dodge,201.14777306589713,32.17265114,-83.16948926,Georgia
23,Hartsfield-Jackson Atlanta International ,US,Dougherty,235.20522510692814,31.53328528,-84.21722377,Georgia
24,Hartsfield-Jackson Atlanta International ,US,Early,261.73224160719747,31.32155345,-84.90255207,Georgia
25,Hartsfield-Jackson Atlanta International ,US,Effingham,320.70329919129205,32.36616021,-81.34280942,Georgia
26,Hartsfield-Jackson Atlanta International ,US,Emanuel,229.74859455654894,32.59221302,-82.30239915,Georgia
27,Hartsfield-Jackson Atlanta International ,US,Fannin,136.39827085308931,34.86430205,-84.316964,Georgia
28,Hartsfield-Jackson Atlanta International ,US,Floyd,100.29056773785273,34.26268279,-85.21577392,Georgia
29,Hartsfield-Jackson Atlanta International ,US,Franklin,137.20045926609012,34.37525597,-83.23159927,Georgia
30,Hartsfield-Jackson Atlanta International ,US,Gilmer,117.01997188893004,34.69316688,-84.45802506,Georgia
31,Hartsfield-Jackson Atlanta International ,US,Glynn,381.0917509572831,31.23279254,-81.53811412,Georgia
32,Hartsfield-Jackson Atlanta International ,US,Grady,308.1625197463273,30.87454847,-84.23418364,Georgia
33,Hartsfield-Jackson Atlanta International ,US,Gwinnett,51.6931362930514,33.96044201,-84.02137802,Georgia
34,Hartsfield-Jackson Atlanta International ,US,Hall,94.26893509571792,34.32207823,-83.81896936,Georgia
35,Hartsfield-Jackson Atlanta International ,US,Haralson,74.36246086578035,33.79602175,-85.21005667,Georgia
36,Hartsfield-Jackson Atlanta International ,US,Hart,155.9509292243921,34.34626973,-82.96567682,Georgia
37,Hartsfield-Jackson Atlanta International ,US,Henry,33.28652692610515,33.4533428,-84.14814659999998,Georgia
38,Hartsfield-Jackson Atlanta International ,US,Irwin,251.1128406803508,31.60213036,-83.27501387,Georgia
39,Hartsfield-Jackson Atlanta International ,US,Jasper,77.55934185472675,33.31535543,-83.68844964,Georgia
40,Hartsfield-Jackson Atlanta International ,US,Jefferson,197.7663514072751,33.05867328,-82.41609057,Georgia
41,Hartsfield-Jackson Atlanta International ,US,Johnson,194.74047678956381,32.70211082,-82.66166794,Georgia
42,Hartsfield-Jackson Atlanta International ,US,Lamar,67.94363056895415,33.07841647,-84.14263877,Georgia
43,Hartsfield-Jackson Atlanta International ,US,Lanier,316.47660767288113,31.038285700000007,-83.06472457,Georgia
44,Hartsfield-Jackson Atlanta International ,US,Lee,208.72265037519242,31.779330600000005,-84.14324253,Georgia
45,Hartsfield-Jackson Atlanta International ,US,Lincoln,183.6833551077028,33.79201475,-82.45024131,Georgia
46,Hartsfield-Jackson Atlanta International ,US,Lowndes,330.3831861408647,30.83568832,-83.27056716,Georgia
47,Hartsfield-Jackson Atlanta International ,US,Macon,147.7722682825016,32.35207048,-84.04234127,Georgia
48,Hartsfield-Jackson Atlanta International ,US,Marion,144.0443231791757,32.3483402,-84.52733571,Georgia
49,Hartsfield-Jackson Atlanta International ,US,McIntosh,370.4659729219935,31.49683595,-81.40163426,Georgia
50,Hartsfield-Jackson Atlanta International ,US,Miller,276.7216520448104,31.16568912,-84.73151117,Georgia
51,Hartsfield-Jackson Atlanta International ,US,Monroe,84.11759325061175,33.014289,-83.92097166,Georgia
52,Hartsfield-Jackson Atlanta International ,US,Morgan,86.89911325819278,33.59232073,-83.49129491,Georgia
53,Hartsfield-Jackson Atlanta International ,US,Muscogee,132.45618377502055,32.50931999,-84.87142262,Georgia
54,Hartsfield-Jackson Atlanta International ,US,Oconee,94.21220260988444,33.83749973,-83.43679568,Georgia
