,airport,country,county,distance(km),lat,long,state/province
0,Los Angeles International,US,Alpine,533.0039700192162,38.59678594,-119.8223594,California
1,Los Angeles International,US,Amador,540.051664182825,38.44583082,-120.65696,California
2,Los Angeles International,US,Calaveras,511.8829610941391,38.20537103,-120.552913,California
3,Los Angeles International,US,Del Norte,991.944031825685,41.74228275,-123.8974063,California
4,Los Angeles International,US,Imperial,299.0419136215857,33.0393082,-115.3669042,California
5,Los Angeles International,US,Inyo,299.6570328570434,36.51112084,-117.41119779999998,California
6,Los Angeles International,US,Kern,158.65874774643078,35.34329425,-118.7277796,California
7,Los Angeles International,US,Kings,269.7200126937949,36.07409056,-119.8159973,California
8,Los Angeles International,US,Lake,692.7489056416015,39.10124298,-122.7536244,California
9,Los Angeles International,US,Los Angeles,43.92341619189524,34.30828379,-118.2282411,California
10,Los Angeles International,US,Marin,601.1790979877546,38.07122463,-122.7210631,California
11,Los Angeles International,US,Mendocino,755.506600158076,39.4381191,-123.3911313,California
12,Los Angeles International,US,Merced,417.46264773194724,37.18922369,-120.7209035,California
13,Los Angeles International,US,Monterey,361.5355499732522,36.21862405,-121.2413397,California
14,Los Angeles International,US,Napa,617.8397820761381,38.50735751,-122.332839,California
15,Los Angeles International,US,Nevada,632.2565435371922,39.30394768,-120.7627281,California
16,Los Angeles International,US,Orange,64.89408615112674,33.70147516,-117.76459979999998,California
17,Los Angeles International,US,Placer,605.8471364043227,39.06167234,-120.7240569,California
18,Los Angeles International,US,Riverside,223.81064149076045,33.74314981,-115.9933578,California
19,Los Angeles International,US,Sacramento,566.4300053846673,38.45106826,-121.3425374,California
20,Los Angeles International,US,San Bernardino,227.53280099719052,34.84060306,-116.1774685,California
21,Los Angeles International,US,San Diego,184.6610218459883,33.03484597,-116.7365326,California
22,Los Angeles International,US,San Francisco,558.1990444013583,37.75215114,-122.4385672,California
23,Los Angeles International,US,San Luis Obispo,243.51365971906787,35.38822029,-120.4039028,California
24,Los Angeles International,US,San Mateo,524.6614475750974,37.4228808,-122.32755459999998,California
25,Los Angeles International,US,Santa Barbara,168.05857313738238,34.65329488,-120.0188492,California
26,Los Angeles International,US,Siskiyou,924.8209992806334,41.59198861,-122.5407434,California
27,Los Angeles International,US,Sonoma,649.1069635239255,38.52746429,-122.8862506,California
28,Los Angeles International,US,Tehama,766.9863254973704,40.12570935,-122.2370171,California
29,Los Angeles International,US,Tulare,255.96327928146965,36.22026558,-118.8020203,California
30,Los Angeles International,US,Tuolumne,475.07849666921044,38.02644018,-119.9525093,California
31,Los Angeles International,US,Ventura,84.34170057436931,34.44465746,-119.0910613,California
32,Los Angeles International,US,Yolo,613.1682111516715,38.68278902,-121.9018288,California
33,Los Angeles International,US,Yuba,647.4859399018995,39.26255932,-121.3535644,California
