,Active,Case-Fatality_Ratio,Combined_Key,Confirmed,Country/Region,County,Date,Deaths,Incidence_Rate,Latitude,Longitude,Province/State,Recovered,Difference
0,0.0,,"Appling, Georgia, US",0,US,Appling,03-22-2020,0,,31.74847232,-82.28909114,Georgia,0,
1,0.0,,"Appling, Georgia, US",0,US,Appling,03-23-2020,0,,31.74847232,-82.28909114,Georgia,0,0.0
2,0.0,,"Appling, Georgia, US",0,US,Appling,03-24-2020,0,,31.74847232,-82.28909114,Georgia,0,0.0
3,0.0,,"Appling, Georgia, US",1,US,Appling,03-25-2020,0,,31.74847232,-82.28909114,Georgia,0,1.0
4,0.0,,"Appling, Georgia, US",0,US,Appling,03-26-2020,0,,31.74847232,-82.28909114,Georgia,0,-1.0
5,0.0,,"Appling, Georgia, US",0,US,Appling,03-27-2020,0,,31.74847232,-82.28909114,Georgia,0,0.0
6,0.0,,"Appling, Georgia, US",0,US,Appling,03-28-2020,0,,31.74847232,-82.28909114,Georgia,0,0.0
7,0.0,,"Appling, Georgia, US",0,US,Appling,03-29-2020,0,,31.74847232,-82.28909114,Georgia,0,0.0
8,0.0,,"Appling, Georgia, US",0,US,Appling,03-30-2020,0,,31.74847232,-82.28909114,Georgia,0,0.0
9,0.0,,"Appling, Georgia, US",2,US,Appling,03-31-2020,0,,31.74847232,-82.28909114,Georgia,0,2.0
10,0.0,,"Appling, Georgia, US",1,US,Appling,04-01-2020,0,,31.74847232,-82.28909114,Georgia,0,-1.0
11,0.0,,"Appling, Georgia, US",3,US,Appling,04-02-2020,0,,31.74847232,-82.28909114,Georgia,0,2.0
12,0.0,,"Appling, Georgia, US",3,US,Appling,04-03-2020,0,,31.74847232,-82.28909114,Georgia,0,0.0
13,0.0,,"Appling, Georgia, US",5,US,Appling,04-04-2020,0,,31.74847232,-82.28909114,Georgia,0,2.0
14,0.0,,"Appling, Georgia, US",5,US,Appling,04-05-2020,0,,31.74847232,-82.28909114,Georgia,0,0.0
15,0.0,,"Appling, Georgia, US",6,US,Appling,04-06-2020,0,,31.74847232,-82.28909114,Georgia,0,1.0
16,0.0,,"Appling, Georgia, US",6,US,Appling,04-07-2020,0,,31.74847232,-82.28909114,Georgia,0,0.0
17,0.0,,"Appling, Georgia, US",6,US,Appling,04-08-2020,0,,31.74847232,-82.28909114,Georgia,0,0.0
18,0.0,,"Appling, Georgia, US",7,US,Appling,04-09-2020,0,,31.74847232,-82.28909114,Georgia,0,1.0
19,0.0,,"Appling, Georgia, US",7,US,Appling,04-10-2020,0,,31.74847232,-82.28909114,Georgia,0,0.0
20,0.0,,"Appling, Georgia, US",9,US,Appling,04-11-2020,0,,31.74847232,-82.28909114,Georgia,0,2.0
21,9.0,,"Appling, Georgia, US",9,US,Appling,04-12-2020,0,,31.74847232,-82.28909114,Georgia,0,0.0
22,11.0,,"Appling, Georgia, US",11,US,Appling,04-13-2020,0,,31.74847232,-82.28909114,Georgia,0,2.0
23,13.0,,"Appling, Georgia, US",13,US,Appling,04-14-2020,0,,31.74847232,-82.28909114,Georgia,0,2.0
24,14.0,,"Appling, Georgia, US",14,US,Appling,04-15-2020,0,,31.74847232,-82.28909114,Georgia,0,1.0
