,Unnamed: 0,Active,Case-Fatality_Ratio,Combined_Key,Confirmed,Country/Region,County,Date,Deaths,Incidence_Rate,Latitude,Longitude,Province/State,Recovered,Count,Difference
0,0,0.0,,"Los Angeles, California, US",407,US,Los Angeles,03-22-2020,5,,34.30828379,-118.22824109999999,California,0,1168.0,
1,1,0.0,,"San Diego, California, US",155,US,San Diego,03-22-2020,0,,33.03484597,-116.73653259999999,California,0,1508.0,340.0
2,2,0.0,,"San Mateo, California, US",117,US,San Mateo,03-22-2020,1,,37.422880799999994,-122.32755459999998,California,0,1801.0,293.0
3,3,0.0,,"San Francisco, California, US",108,US,San Francisco,03-22-2020,0,,37.75215114,-122.43856720000001,California,0,2118.0,317.0
4,4,0.0,,"Orange, California, US",95,US,Orange,03-22-2020,0,,33.70147516,-117.76459979999998,California,0,2846.0,728.0
5,5,0.0,,"Sacramento, California, US",53,US,Sacramento,03-22-2020,3,,38.45106826,-121.34253740000001,California,0,3444.0,598.0
6,6,0.0,,"Marin, California, US",38,US,Marin,03-22-2020,0,,38.07122463,-122.72106310000001,California,0,3830.0,386.0
7,7,0.0,,"Riverside, California, US",29,US,Riverside,03-22-2020,6,,33.74314981,-115.9933578,California,0,4421.0,591.0
8,8,0.0,,"San Luis Obispo, California, US",27,US,San Luis Obispo,03-22-2020,0,,35.38822029,-120.4039028,California,0,5453.0,1032.0
9,9,0.0,,"Ventura, California, US",25,US,Ventura,03-22-2020,0,,34.44465746,-119.09106129999999,California,0,6372.0,919.0
10,10,0.0,,"Sonoma, California, US",22,US,Sonoma,03-22-2020,1,,38.52746429,-122.88625060000001,California,0,7394.0,1022.0
11,11,0.0,,"San Bernardino, California, US",17,US,San Bernardino,03-22-2020,0,,34.84060306,-116.1774685,California,0,8592.0,1198.0
12,12,0.0,,"Santa Barbara, California, US",13,US,Santa Barbara,03-22-2020,0,,34.65329488,-120.0188492,California,0,9628.0,1036.0
13,13,0.0,,"Placer, California, US",12,US,Placer,03-22-2020,1,,39.06167234,-120.72405690000001,California,0,10283.0,655.0
14,14,0.0,,"Tulare, California, US",12,US,Tulare,03-22-2020,0,,36.22026558,-118.8020203,California,0,12187.0,1904.0
15,15,0.0,,"Monterey, California, US",11,US,Monterey,03-22-2020,1,,36.21862405,-121.24133970000001,California,0,13047.0,860.0
16,16,0.0,,"Yolo, California, US",6,US,Yolo,03-22-2020,0,,38.68278902,-121.90182879999999,California,0,14165.0,1118.0
17,17,0.0,,"Imperial, California, US",6,US,Imperial,03-22-2020,0,,33.0393082,-115.36690420000001,California,0,15359.0,1194.0
18,18,0.0,,"Kern, California, US",5,US,Kern,03-22-2020,0,,35.34329425,-118.72777959999999,California,0,16267.0,908.0
19,19,0.0,,"Calaveras, California, US",2,US,Calaveras,03-22-2020,0,,38.20537103,-120.55291299999999,California,0,17387.0,1120.0
20,20,0.0,,"Siskiyou, California, US",2,US,Siskiyou,03-22-2020,0,,41.59198861,-122.54074340000001,California,0,17862.0,475.0
21,21,0.0,,"Yuba, California, US",2,US,Yuba,03-22-2020,0,,39.26255932,-121.35356440000001,California,0,18785.0,923.0
22,22,0.0,,"Nevada, California, US",1,US,Nevada,03-22-2020,0,,39.30394768,-120.76272809999999,California,0,19730.0,945.0
23,23,0.0,,"Mendocino, California, US",1,US,Mendocino,03-22-2020,0,,39.4381191,-123.39113130000001,California,0,21089.0,1359.0
24,24,0.0,,"Amador, California, US",1,US,Amador,03-22-2020,0,,38.44583082,-120.65696000000001,California,0,22066.0,977.0
25,25,0.0,,"Napa, California, US",1,US,Napa,03-22-2020,0,,38.50735751,-122.33283899999999,California,0,22902.0,836.0
26,26,0.0,,"Alpine, California, US",0,US,Alpine,03-22-2020,0,,38.59678594,-119.82235940000001,California,0,24191.0,1289.0
27,27,0.0,,"Del Norte, California, US",0,US,Del Norte,03-22-2020,0,,41.74228275,-123.89740630000001,California,0,25369.0,1178.0
28,28,0.0,,"Inyo, California, US",0,US,Inyo,03-22-2020,0,,36.51112084,-117.41119779999998,California,0,26213.0,844.0
29,29,0.0,,"Kings, California, US",0,US,Kings,03-22-2020,0,,36.07409056,-119.8159973,California,0,28340.0,2127.0
30,30,0.0,,"Lake, California, US",0,US,Lake,03-22-2020,0,,39.10124298,-122.75362439999999,California,0,29960.0,1620.0
31,31,0.0,,"Merced, California, US",0,US,Merced,03-22-2020,0,,37.18922369,-120.72090349999999,California,0,31743.0,1783.0
32,32,0.0,,"Tehama, California, US",0,US,Tehama,03-22-2020,0,,40.12570935,-122.23701709999999,California,0,33688.0,1945.0
33,33,0.0,,"Tuolumne, California, US",0,US,Tuolumne,03-22-2020,0,,38.02644018,-119.95250929999999,California,0,35325.0,1637.0
34,34,0.0,,"Alpine, California, US",0,US,Alpine,03-23-2020,0,,38.59678594,-119.8223594,California,0,36251.0,926.0
35,35,0.0,,"Amador, California, US",1,US,Amador,03-23-2020,0,,38.44583082,-120.65696,California,0,37303.0,1052.0
36,36,0.0,,"Calaveras, California, US",2,US,Calaveras,03-23-2020,0,,38.20537103,-120.552913,California,0,38628.0,1325.0
37,37,0.0,,"Del Norte, California, US",0,US,Del Norte,03-23-2020,0,,41.74228275,-123.8974063,California,0,39651.0,1023.0
38,38,0.0,,"Imperial, California, US",6,US,Imperial,03-23-2020,0,,33.0393082,-115.3669042,California,0,42075.0,2424.0
39,39,0.0,,"Inyo, California, US",0,US,Inyo,03-23-2020,0,,36.51112084,-117.41119779999998,California,0,43347.0,1272.0
40,40,0.0,,"Kern, California, US",12,US,Kern,03-23-2020,0,,35.34329425,-118.7277796,California,0,45027.0,1680.0
41,41,0.0,,"Kings, California, US",0,US,Kings,03-23-2020,0,,36.07409056,-119.8159973,California,0,46220.0,1193.0
