,Active,Case-Fatality_Ratio,Combined_Key,Confirmed,Country/Region,County,Date,Deaths,Incidence_Rate,Latitude,Longitude,Province/State,Recovered,Difference
0,0.0,,"Adams, Washington, US",0,US,Adams,03-22-2020,0,,46.98299757,-118.5601734,Washington,0,
1,0.0,,"Adams, Washington, US",1,US,Adams,03-23-2020,0,,46.98299757,-118.56017340000001,Washington,0,1.0
2,0.0,,"Adams, Washington, US",1,US,Adams,03-24-2020,0,,46.98299757,-118.56017340000001,Washington,0,0.0
3,0.0,,"Adams, Washington, US",1,US,Adams,03-25-2020,0,,46.98299757,-118.56017340000001,Washington,0,0.0
4,0.0,,"Adams, Washington, US",3,US,Adams,03-26-2020,0,,46.98299757,-118.56017340000001,Washington,0,2.0
5,0.0,,"Adams, Washington, US",3,US,Adams,03-27-2020,0,,46.98299757,-118.56017340000001,Washington,0,0.0
6,0.0,,"Adams, Washington, US",5,US,Adams,03-28-2020,0,,46.98299757,-118.5601734,Washington,0,2.0
7,0.0,,"Adams, Washington, US",5,US,Adams,03-29-2020,0,,46.98299757,-118.5601734,Washington,0,0.0
8,0.0,,"Adams, Washington, US",7,US,Adams,03-30-2020,0,,46.98299757,-118.5601734,Washington,0,2.0
9,0.0,,"Adams, Washington, US",13,US,Adams,03-31-2020,0,,46.98299757,-118.56017340000001,Washington,0,6.0
10,0.0,,"Adams, Washington, US",14,US,Adams,04-01-2020,0,,46.98299757,-118.56017340000001,Washington,0,1.0
11,0.0,,"Adams, Washington, US",20,US,Adams,04-02-2020,0,,46.98299757,-118.5601734,Washington,0,6.0
12,0.0,,"Adams, Washington, US",20,US,Adams,04-03-2020,0,,46.98299757,-118.56017340000001,Washington,0,0.0
13,0.0,,"Adams, Washington, US",20,US,Adams,04-04-2020,0,,46.98299757,-118.5601734,Washington,0,0.0
14,0.0,,"Adams, Washington, US",23,US,Adams,04-05-2020,0,,46.98299757,-118.56017340000001,Washington,0,3.0
15,0.0,,"Adams, Washington, US",26,US,Adams,04-06-2020,0,,46.98299757,-118.5601734,Washington,0,3.0
16,0.0,,"Adams, Washington, US",27,US,Adams,04-07-2020,0,,46.98299757,-118.56017340000001,Washington,0,1.0
