Active,Case-Fatality_Ratio,Combined_Key,Confirmed,Country/Region,Date,Deaths,Incidence_Rate,Latitude,Longitude,Province/State,Recovered,Difference,timestamp,Prediction,Month
0.0,,"Alberta, Canada",259,Canada,2020-03-22,1,,53.9333,-116.5765,Alberta,0,0.0,1584835200.0,39.55263157895388,March
0.0,,"Alberta, Canada",301,Canada,2020-03-23,1,,53.9333,-116.5765,Alberta,0,42.0,1584921600.0,41.964912280702265,March
0.0,,"Alberta, Canada",359,Canada,2020-03-24,1,,53.9333,-116.5765,Alberta,0,58.0,1585008000.0,44.37719298245793,March
0.0,,"Alberta, Canada",358,Canada,2020-03-25,2,,53.9333,-116.5765,Alberta,0,-1.0,1585094400.0,46.78947368421359,March
0.0,,"Alberta, Canada",486,Canada,2020-03-26,2,,53.9333,-116.5765,Alberta,0,128.0,1585180800.0,49.20175438596925,March
0.0,,"Alberta, Canada",542,Canada,2020-03-27,2,,53.9333,-116.5765,Alberta,0,56.0,1585267200.0,51.614035087724915,March
0.0,,"Alberta, Canada",542,Canada,2020-03-28,2,,53.9333,-116.5765,Alberta,0,0.0,1585353600.0,54.02631578948058,March
0.0,,"Alberta, Canada",621,Canada,2020-03-29,2,,53.9333,-116.5765,Alberta,0,79.0,1585440000.0,56.438596491228964,March
0.0,,"Alberta, Canada",661,Canada,2020-03-30,3,,53.9333,-116.5765,Alberta,0,40.0,1585526400.0,58.850877192984626,March
0.0,,"Alberta, Canada",690,Canada,2020-03-31,8,,53.9333,-116.5765,Alberta,0,29.0,1585612800.0,61.26315789474029,March
0.0,,"Alberta, Canada",754,Canada,2020-04-01,9,,53.9333,-116.5765,Alberta,0,64.0,1585699200.0,63.67543859649595,April
0.0,,"Alberta, Canada",969,Canada,2020-04-02,13,,53.9333,-116.5765,Alberta,0,215.0,1585785600.0,66.08771929825161,April
0.0,,"Alberta, Canada",969,Canada,2020-04-03,13,,53.9333,-116.5765,Alberta,0,0.0,1585872000.0,68.5,April
0.0,,"Alberta, Canada",1075,Canada,2020-04-04,18,,53.9333,-116.5765,Alberta,0,106.0,1585958400.0,70.91228070175566,April
0.0,,"Alberta, Canada",1181,Canada,2020-04-05,20,,53.9333,-116.5765,Alberta,0,106.0,1586044800.0,73.32456140351132,April
0.0,,"Alberta, Canada",1250,Canada,2020-04-06,23,,53.9333,-116.5765,Alberta,0,69.0,1586131200.0,75.73684210526699,April
0.0,,"Alberta, Canada",1373,Canada,2020-04-07,24,,53.9333,-116.5765,Alberta,0,123.0,1586217600.0,78.14912280702265,April
0.0,,"Alberta, Canada",1373,Canada,2020-04-08,26,,53.9333,-116.5765,Alberta,0,0.0,1586304000.0,80.56140350877831,April
0.0,,"Alberta, Canada",1423,Canada,2020-04-09,29,,53.9333,-116.5765,Alberta,0,50.0,1586390400.0,82.9736842105267,April
