,Active,Case-Fatality_Ratio,Combined_Key,Confirmed,Country/Region,Date,Deaths,Incidence_Rate,Latitude,Longitude,Province/State,Recovered
0,0.0,,"Quebec, Canada",219,Canada,03-22-2020,4,,52.9399,-73.5491,Quebec,0
1,0.0,,"Quebec, Canada",628,Canada,03-23-2020,4,,52.9399,-73.5491,Quebec,0
2,0.0,,"Quebec, Canada",1013,Canada,03-24-2020,4,,52.9399,-73.5491,Quebec,0
3,0.0,,"Quebec, Canada",1342,Canada,03-25-2020,6,,52.9399,-73.5491,Quebec,0
4,0.0,,"Quebec, Canada",1632,Canada,03-26-2020,8,,52.9399,-73.5491,Quebec,0
5,0.0,,"Quebec, Canada",2024,Canada,03-27-2020,18,,52.9399,-73.5491,Quebec,0
6,0.0,,"Quebec, Canada",2498,Canada,03-28-2020,22,,52.9399,-73.5491,Quebec,0
7,0.0,,"Quebec, Canada",2840,Canada,03-29-2020,22,,52.9399,-73.5491,Quebec,0
8,0.0,,"Quebec, Canada",3430,Canada,03-30-2020,22,,52.9399,-73.5491,Quebec,0
9,0.0,,"Quebec, Canada",4162,Canada,03-31-2020,31,,52.9399,-73.5491,Quebec,0
10,0.0,,"Quebec, Canada",4611,Canada,04-01-2020,33,,52.9399,-73.5491,Quebec,0
11,0.0,,"Quebec, Canada",5518,Canada,04-02-2020,36,,52.9399,-73.5491,Quebec,0
12,0.0,,"Quebec, Canada",6101,Canada,04-03-2020,61,,52.9399,-73.5491,Quebec,0
13,0.0,,"Quebec, Canada",6101,Canada,04-04-2020,61,,52.9399,-73.5491,Quebec,0
14,0.0,,"Quebec, Canada",7944,Canada,04-05-2020,75,,52.9399,-73.5491,Quebec,0
15,0.0,,"Quebec, Canada",8580,Canada,04-06-2020,121,,52.9399,-73.5491,Quebec,0
16,0.0,,"Quebec, Canada",9340,Canada,04-07-2020,150,,52.9399,-73.5491,Quebec,0
17,0.0,,"Quebec, Canada",10031,Canada,04-08-2020,175,,52.9399,-73.5491,Quebec,0
18,0.0,,"Quebec, Canada",10912,Canada,04-09-2020,216,,52.9399,-73.5491,Quebec,0
19,0.0,,"Quebec, Canada",11677,Canada,04-10-2020,241,,52.9399,-73.5491,Quebec,0
20,0.0,,"Quebec, Canada",12292,Canada,04-11-2020,289,,52.9399,-73.5491,Quebec,0
21,12518.0,,"Quebec, Canada",12846,Canada,04-12-2020,328,,52.9399,-73.5491,Quebec,0
22,13197.0,,"Quebec, Canada",13557,Canada,04-13-2020,360,,52.9399,-73.5491,Quebec,0
23,13813.0,,"Quebec, Canada",14248,Canada,04-14-2020,435,,52.9399,-73.5491,Quebec,0
24,14373.0,,"Quebec, Canada",14860,Canada,04-15-2020,487,,52.9399,-73.5491,Quebec,0
25,15227.0,,"Quebec, Canada",15857,Canada,04-16-2020,630,,52.9399,-73.5491,Quebec,0
26,16110.0,,"Quebec, Canada",16798,Canada,04-17-2020,688,,52.9399,-73.5491,Quebec,0
27,16833.0,,"Quebec, Canada",17521,Canada,04-18-2020,688,,52.9399,-73.5491,Quebec,0
28,17130.0,,"Quebec, Canada",17950,Canada,04-19-2020,820,,52.9399,-73.5491,Quebec,0
29,18380.0,,"Quebec, Canada",19319,Canada,04-20-2020,939,,52.9399,-73.5491,Quebec,0
30,19082.0,,"Quebec, Canada",20126,Canada,04-21-2020,1044,,52.9399,-73.5491,Quebec,0
31,19831.0,,"Quebec, Canada",20965,Canada,04-22-2020,1134,,52.9399,-73.5491,Quebec,0
32,20595.0,,"Quebec, Canada",21838,Canada,04-23-2020,1243,,52.9399,-73.5491,Quebec,0
33,21276.0,,"Quebec, Canada",22616,Canada,04-24-2020,1340,,52.9399,-73.5491,Quebec,0
34,21821.0,,"Quebec, Canada",23267,Canada,04-25-2020,1446,,52.9399,-73.5491,Quebec,0
35,22593.0,,"Quebec, Canada",24109,Canada,04-26-2020,1516,,52.9399,-73.5491,Quebec,0
36,23383.0,,"Quebec, Canada",24983,Canada,04-27-2020,1600,,52.9399,-73.5491,Quebec,0
37,24078.0,,"Quebec, Canada",25761,Canada,04-28-2020,1683,,52.9399,-73.5491,Quebec,0
38,24848.0,,"Quebec, Canada",26610,Canada,04-29-2020,1762,,52.9399,-73.5491,Quebec,0
39,25691.0,,"Quebec, Canada",27550,Canada,04-30-2020,1859,,52.9399,-73.5491,Quebec,0
40,26634.0,,"Quebec, Canada",28656,Canada,05-01-2020,2022,,52.9399,-73.5491,Quebec,0
41,27528.0,,"Quebec, Canada",29664,Canada,05-02-2020,2136,,52.9399,-73.5491,Quebec,0
42,29667.0,,"Quebec, Canada",31873,Canada,05-03-2020,2206,,52.9399,-73.5491,Quebec,0
43,30350.0,,"Quebec, Canada",32631,Canada,05-04-2020,2281,,52.9399,-73.5491,Quebec,0
44,31026.0,,"Quebec, Canada",33425,Canada,05-05-2020,2399,,52.9399,-73.5491,Quebec,0
45,31823.0,,"Quebec, Canada",34334,Canada,05-06-2020,2511,,52.9399,-73.5491,Quebec,0
46,32617.0,,"Quebec, Canada",35249,Canada,05-07-2020,2632,,52.9399,-73.5491,Quebec,0
47,33435.0,,"Quebec, Canada",36161,Canada,05-08-2020,2726,,52.9399,-73.5491,Quebec,0
48,34210.0,,"Quebec, Canada",36997,Canada,05-09-2020,2787,,52.9399,-73.5491,Quebec,0
49,34803.0,,"Quebec, Canada",37732,Canada,05-10-2020,2929,,52.9399,-73.5491,Quebec,0
50,35466.0,,"Quebec, Canada",38480,Canada,05-11-2020,3014,,52.9399,-73.5491,Quebec,0
51,36103.0,,"Quebec, Canada",39235,Canada,05-12-2020,3132,,52.9399,-73.5491,Quebec,0
52,36719.0,,"Quebec, Canada",39940,Canada,05-13-2020,3221,,52.9399,-73.5491,Quebec,0
53,26551.0,,"Quebec, Canada",40732,Canada,05-14-2020,3352,,52.9399,-73.5491,Quebec,10829
54,26988.0,,"Quebec, Canada",41429,Canada,05-15-2020,3402,,52.9399,-73.5491,Quebec,11039
55,27250.0,,"Quebec, Canada",42192,Canada,05-16-2020,3484,,52.9399,-73.5491,Quebec,11458
56,27611.0,,"Quebec, Canada",42928,Canada,05-17-2020,3563,,52.9399,-73.5491,Quebec,11754
57,27994.0,,"Quebec, Canada",43636,Canada,05-18-2020,3597,,52.9399,-73.5491,Quebec,12045
58,28061.0,,"Quebec, Canada",44206,Canada,05-19-2020,3648,,52.9399,-73.5491,Quebec,12497
59,28243.0,,"Quebec, Canada",44784,Canada,05-20-2020,3719,,52.9399,-73.5491,Quebec,12822
60,28376.0,,"Quebec, Canada",45504,Canada,05-21-2020,3801,,52.9399,-73.5491,Quebec,13327
61,28465.0,,"Quebec, Canada",46150,Canada,05-22-2020,3866,,52.9399,-73.5491,Quebec,13819
62,28862.0,,"Quebec, Canada",46847,Canada,05-23-2020,3941,,52.9399,-73.5491,Quebec,14044
63,29104.0,,"Quebec, Canada",47420,Canada,05-24-2020,3985,,52.9399,-73.5491,Quebec,14331
64,29269.0,,"Quebec, Canada",47993,Canada,05-25-2020,4070,,52.9399,-73.5491,Quebec,14654
65,29468.0,,"Quebec, Canada",48607,Canada,05-26-2020,4140,,52.9399,-73.5491,Quebec,14999
66,29600.0,,"Quebec, Canada",49148,Canada,05-27-2020,4229,,52.9399,-73.5491,Quebec,15319
67,29790.0,,"Quebec, Canada",49711,Canada,05-28-2020,4303,,52.9399,-73.5491,Quebec,15618
68,29961.0,8.685698359611402,"Quebec, Canada",50232,Canada,05-29-2020,4363,588.3569693572277,52.9399,-73.5491,Quebec,15908
69,30142.0,8.763894098833191,"Quebec, Canada",50651,Canada,05-30-2020,4439,593.2646292186841,52.9399,-73.5491,Quebec,16070
70,30072.0,9.08948471376251,"Quebec, Canada",51059,Canada,05-31-2020,4641,598.0434483677873,52.9399,-73.5491,Quebec,16346
71,30096.0,9.076216068855397,"Quebec, Canada",51354,Canada,06-01-2020,4661,601.4987220172612,52.9399,-73.5491,Quebec,16597
72,30077.0,9.134960169015176,"Quebec, Canada",51593,Canada,06-02-2020,4713,604.298079312937,52.9399,-73.5491,Quebec,16803
73,29992.0,9.239842726081259,"Quebec, Canada",51884,Canada,06-03-2020,4794,607.7065017942826,52.9399,-73.5491,Quebec,17098
74,29922.0,9.368467483650733,"Quebec, Canada",52143,Canada,06-04-2020,4885,610.7401149306005,52.9399,-73.5491,Quebec,17336
75,29699.0,9.418298408336195,"Quebec, Canada",52398,Canada,06-05-2020,4935,613.72687689879,52.9399,-73.5491,Quebec,17764
