,Active,Case-Fatality_Ratio,Combined_Key,Confirmed,Country/Region,Date,Deaths,Incidence_Rate,Latitude,Longitude,Province/State,Recovered,Difference,timestamp,Prediction,Month
0,0.0,,"British Columbia, Canada",424,Canada,2020-03-22,10,,53.7267,-127.6476,British Columbia,0,0.0,1584835200.0,0.09406454524832952,March
1,0.0,,"British Columbia, Canada",472,Canada,2020-03-23,13,,53.7267,-127.6476,British Columbia,0,48.0,1584921600.0,0.5837089492360974,March
2,0.0,,"British Columbia, Canada",617,Canada,2020-03-24,13,,53.7267,-127.6476,British Columbia,0,145.0,1585008000.0,1.0733533532220463,March
3,0.0,,"British Columbia, Canada",617,Canada,2020-03-25,13,,53.7267,-127.6476,British Columbia,0,0.0,1585094400.0,1.5629977572098142,March
4,0.0,,"British Columbia, Canada",725,Canada,2020-03-26,14,,53.7267,-127.6476,British Columbia,0,108.0,1585180800.0,2.052642161197582,March
5,0.0,,"British Columbia, Canada",725,Canada,2020-03-27,14,,53.7267,-127.6476,British Columbia,0,0.0,1585267200.0,2.542286565183531,March
6,0.0,,"British Columbia, Canada",884,Canada,2020-03-28,17,,53.7267,-127.6476,British Columbia,0,159.0,1585353600.0,3.031930969171299,March
7,0.0,,"British Columbia, Canada",884,Canada,2020-03-29,17,,53.7267,-127.6476,British Columbia,0,0.0,1585440000.0,3.5215753731590667,March
8,0.0,,"British Columbia, Canada",970,Canada,2020-03-30,19,,53.7267,-127.6476,British Columbia,0,86.0,1585526400.0,4.0112197771450155,March
9,0.0,,"British Columbia, Canada",1013,Canada,2020-03-31,24,,53.7267,-127.6476,British Columbia,0,43.0,1585612800.0,4.500864181132783,March
10,0.0,,"British Columbia, Canada",1013,Canada,2020-04-01,24,,53.7267,-127.6476,British Columbia,0,0.0,1585699200.0,4.990508585120551,April
11,0.0,,"British Columbia, Canada",1121,Canada,2020-04-02,31,,53.7267,-127.6476,British Columbia,0,108.0,1585785600.0,5.4801529891065,April
12,0.0,,"British Columbia, Canada",1174,Canada,2020-04-03,31,,53.7267,-127.6476,British Columbia,0,53.0,1585872000.0,5.969797393094268,April
13,0.0,,"British Columbia, Canada",1203,Canada,2020-04-04,38,,53.7267,-127.6476,British Columbia,0,29.0,1585958400.0,6.459441797082036,April
14,0.0,,"British Columbia, Canada",1203,Canada,2020-04-05,38,,53.7267,-127.6476,British Columbia,0,0.0,1586044800.0,6.949086201067985,April
15,0.0,,"British Columbia, Canada",1266,Canada,2020-04-06,38,,53.7267,-127.6476,British Columbia,0,63.0,1586131200.0,7.438730605055753,April
16,0.0,,"British Columbia, Canada",1266,Canada,2020-04-07,39,,53.7267,-127.6476,British Columbia,0,0.0,1586217600.0,7.9283750090435205,April
17,0.0,,"British Columbia, Canada",1291,Canada,2020-04-08,43,,53.7267,-127.6476,British Columbia,0,25.0,1586304000.0,8.41801941302947,April
18,0.0,,"British Columbia, Canada",1336,Canada,2020-04-09,48,,53.7267,-127.6476,British Columbia,0,45.0,1586390400.0,8.907663817017237,April
19,0.0,,"British Columbia, Canada",1370,Canada,2020-04-10,50,,53.7267,-127.6476,British Columbia,0,34.0,1586476800.0,9.397308221005005,April
20,0.0,,"British Columbia, Canada",1445,Canada,2020-04-11,58,,53.7267,-127.6476,British Columbia,0,75.0,1586563200.0,9.886952624990954,April
21,1387.0,,"British Columbia, Canada",1445,Canada,2020-04-12,58,,53.7267,-127.6476,British Columbia,0,0.0,1586649600.0,10.376597028978722,April
22,1421.0,,"British Columbia, Canada",1490,Canada,2020-04-13,69,,53.7267,-127.6476,British Columbia,0,45.0,1586736000.0,10.86624143296649,April
23,1421.0,,"British Columbia, Canada",1490,Canada,2020-04-14,69,,53.7267,-127.6476,British Columbia,0,0.0,1586822400.0,11.355885836952439,April
24,1445.0,,"British Columbia, Canada",1517,Canada,2020-04-15,72,,53.7267,-127.6476,British Columbia,0,27.0,1586908800.0,11.845530240940207,April
25,1486.0,,"British Columbia, Canada",1561,Canada,2020-04-16,75,,53.7267,-127.6476,British Columbia,0,44.0,1586995200.0,12.335174644926155,April
