,Unnamed: 0,Active,Case-Fatality_Ratio,Combined_Key,Confirmed,Country/Region,Date,Deaths,Incidence_Rate,Latitude,Longitude,Province/State,Recovered,Count,Difference
0,0,0.0,,"Ontario, Canada",425,Canada,03-22-2020,5,,51.2538,-85.3232,Ontario,0,425,
1,1,0.0,,"Ontario, Canada",503,Canada,03-23-2020,6,,51.2538,-85.3232,Ontario,0,503,78.0
2,2,0.0,,"Ontario, Canada",588,Canada,03-24-2020,7,,51.2538,-85.3232,Ontario,0,588,85.0
3,3,0.0,,"Ontario, Canada",688,Canada,03-25-2020,8,,51.2538,-85.3232,Ontario,0,688,100.0
4,4,0.0,,"Ontario, Canada",858,Canada,03-26-2020,13,,51.2538,-85.3232,Ontario,0,858,170.0
5,5,0.0,,"Ontario, Canada",994,Canada,03-27-2020,18,,51.2538,-85.3232,Ontario,0,994,136.0
6,6,0.0,,"Ontario, Canada",1144,Canada,03-28-2020,18,,51.2538,-85.3232,Ontario,0,1144,150.0
7,7,0.0,,"Ontario, Canada",1355,Canada,03-29-2020,21,,51.2538,-85.3232,Ontario,0,1355,211.0
8,8,0.0,,"Ontario, Canada",1706,Canada,03-30-2020,31,,51.2538,-85.3232,Ontario,0,1706,351.0
9,9,0.0,,"Ontario, Canada",1966,Canada,03-31-2020,33,,51.2538,-85.3232,Ontario,0,1966,260.0
10,10,0.0,,"Ontario, Canada",2392,Canada,04-01-2020,37,,51.2538,-85.3232,Ontario,0,2392,426.0
11,11,0.0,,"Ontario, Canada",2793,Canada,04-02-2020,53,,51.2538,-85.3232,Ontario,0,2793,401.0
12,12,0.0,,"Ontario, Canada",3255,Canada,04-03-2020,67,,51.2538,-85.3232,Ontario,0,3255,462.0
13,13,0.0,,"Ontario, Canada",3630,Canada,04-04-2020,94,,51.2538,-85.3232,Ontario,0,3630,375.0
14,14,0.0,,"Ontario, Canada",4354,Canada,04-05-2020,119,,51.2538,-85.3232,Ontario,0,4354,724.0
15,15,0.0,,"Ontario, Canada",4347,Canada,04-06-2020,150,,51.2538,-85.3232,Ontario,0,4347,-7.0
16,16,0.0,,"Ontario, Canada",4726,Canada,04-07-2020,153,,51.2538,-85.3232,Ontario,0,4726,379.0
17,17,0.0,,"Ontario, Canada",5276,Canada,04-08-2020,153,,51.2538,-85.3232,Ontario,0,5276,550.0
18,18,0.0,,"Ontario, Canada",5759,Canada,04-09-2020,200,,51.2538,-85.3232,Ontario,0,5759,483.0
19,19,0.0,,"Ontario, Canada",6237,Canada,04-10-2020,222,,51.2538,-85.3232,Ontario,0,6237,478.0
20,20,0.0,,"Ontario, Canada",6648,Canada,04-11-2020,253,,51.2538,-85.3232,Ontario,0,6648,411.0
21,21,6775.0,,"Ontario, Canada",7049,Canada,04-12-2020,274,,51.2538,-85.3232,Ontario,0,7049,401.0
22,22,7179.0,,"Ontario, Canada",7470,Canada,04-13-2020,291,,51.2538,-85.3232,Ontario,0,7470,421.0
23,23,7619.0,,"Ontario, Canada",7953,Canada,04-14-2020,334,,51.2538,-85.3232,Ontario,0,7953,483.0
24,24,8062.0,,"Ontario, Canada",8447,Canada,04-15-2020,385,,51.2538,-85.3232,Ontario,0,8447,494.0
25,25,9350.0,,"Ontario, Canada",9840,Canada,04-16-2020,490,,51.2538,-85.3232,Ontario,0,9840,1393.0
26,26,9932.0,,"Ontario, Canada",10456,Canada,04-17-2020,524,,51.2538,-85.3232,Ontario,0,10456,616.0
27,27,10449.0,,"Ontario, Canada",11013,Canada,04-18-2020,564,,51.2538,-85.3232,Ontario,0,11013,557.0
28,28,10970.0,,"Ontario, Canada",11561,Canada,04-19-2020,591,,51.2538,-85.3232,Ontario,0,11561,548.0
29,29,11439.0,,"Ontario, Canada",12063,Canada,04-20-2020,624,,51.2538,-85.3232,Ontario,0,12063,502.0
30,30,12021.0,,"Ontario, Canada",12715,Canada,04-21-2020,694,,51.2538,-85.3232,Ontario,0,12715,652.0
31,31,12956.0,,"Ontario, Canada",13718,Canada,04-22-2020,762,,51.2538,-85.3232,Ontario,0,13718,1003.0
32,32,13262.0,,"Ontario, Canada",14068,Canada,04-23-2020,806,,51.2538,-85.3232,Ontario,0,14068,350.0
33,33,13688.0,,"Ontario, Canada",14550,Canada,04-24-2020,862,,51.2538,-85.3232,Ontario,0,14550,482.0
