Unnamed: 0,Date,AirportName,PercentOfBaseline,City,State,Country,lat,long,timestamp,Prediction,Month
5319,2020-03-16,Montreal Trudeau,100,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1584316800.0,61.67958656330734,March
5493,2020-03-17,Montreal Trudeau,98,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1584403200.0,61.76821463932947,March
5498,2020-03-18,Montreal Trudeau,98,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1584489600.0,61.856842715351604,March
5508,2020-03-19,Montreal Trudeau,95,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1584576000.0,61.94547079137374,March
5453,2020-03-20,Montreal Trudeau,99,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1584662400.0,62.03409886739587,March
5321,2020-03-21,Montreal Trudeau,79,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1584748800.0,62.122726943418,March
5504,2020-03-22,Montreal Trudeau,86,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1584835200.0,62.211355019440134,March
5463,2020-03-23,Montreal Trudeau,89,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1584921600.0,62.29998309546227,March
5328,2020-03-24,Montreal Trudeau,87,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1585008000.0,62.3886111714844,March
5502,2020-03-25,Montreal Trudeau,79,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1585094400.0,62.47723924750653,March
5476,2020-03-26,Montreal Trudeau,78,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1585180800.0,62.565867323528664,March
5460,2020-03-27,Montreal Trudeau,74,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1585267200.0,62.6544953995508,March
5349,2020-03-28,Montreal Trudeau,51,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1585353600.0,62.74312347557293,March
5352,2020-03-29,Montreal Trudeau,41,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1585440000.0,62.83175155159506,March
5447,2020-03-30,Montreal Trudeau,69,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1585526400.0,62.920379627617194,March
5495,2020-03-31,Montreal Trudeau,68,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1585612800.0,63.00900770363933,March
5384,2020-04-01,Montreal Trudeau,63,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1585699200.0,63.09763577966146,April
5438,2020-04-02,Montreal Trudeau,65,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1585785600.0,63.18626385568359,April
5355,2020-04-03,Montreal Trudeau,62,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1585872000.0,63.2748919317055,April
5391,2020-04-04,Montreal Trudeau,43,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1585958400.0,63.36352000772763,April
5430,2020-04-05,Montreal Trudeau,32,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1586044800.0,63.45214808374976,April
5401,2020-04-06,Montreal Trudeau,61,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1586131200.0,63.540776159771895,April
5412,2020-04-07,Montreal Trudeau,64,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1586217600.0,63.62940423579403,April
5441,2020-04-08,Montreal Trudeau,58,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1586304000.0,63.71803231181616,April
5521,2020-04-09,Montreal Trudeau,61,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1586390400.0,63.80666038783829,April
5446,2020-04-10,Montreal Trudeau,24,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1586476800.0,63.895288463860425,April
5527,2020-04-11,Montreal Trudeau,18,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1586563200.0,63.98391653988256,April
5481,2020-04-12,Montreal Trudeau,34,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1586649600.0,64.07254461590469,April
5395,2020-04-13,Montreal Trudeau,50,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1586736000.0,64.16117269192682,April
5459,2020-04-14,Montreal Trudeau,62,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1586822400.0,64.24980076794895,April
5451,2020-04-15,Montreal Trudeau,66,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1586908800.0,64.33842884397109,April
5358,2020-04-16,Montreal Trudeau,64,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1586995200.0,64.42705691999322,April
5410,2020-04-17,Montreal Trudeau,63,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1587081600.0,64.51568499601535,April
5411,2020-04-18,Montreal Trudeau,47,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1587168000.0,64.60431307203748,April
5381,2020-04-19,Montreal Trudeau,36,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1587254400.0,64.69294114805962,April
5485,2020-04-20,Montreal Trudeau,68,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1587340800.0,64.78156922408175,April
5494,2020-04-21,Montreal Trudeau,64,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1587427200.0,64.87019730010388,April
5479,2020-04-22,Montreal Trudeau,63,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1587513600.0,64.95882537612579,April
5458,2020-04-23,Montreal Trudeau,71,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1587600000.0,65.04745345214792,April
5335,2020-04-24,Montreal Trudeau,67,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1587686400.0,65.13608152817005,April
5429,2020-04-25,Montreal Trudeau,49,Dorval,Quebec,Canada,45.4678436940192,-73.7424121584688,1587772800.0,65.22470960419218,April
